sub _id,first_name,last_name,Street,Birth_date,Gender,Phone,Country,City,ZipCode,Subgrp_id,Elig_ind,eff_date,term_date
SUBID10000,Harbir,Vishwakarma,Baria Marg,6/30/1924,Female,+91 0112009318,India,Rourkela,767058,S107,Y,6/30/1944,1/14/1954
SUBID10001,Brahmdev,Sonkar,Lala Marg,12/20/1948,Female,+91 1727749552,India,Tiruvottiyur,34639,S105,Y,12/20/1968,5/16/1970
SUBID10002,Ujjawal,Devi,Mammen Zila,4/16/1980,Male,+91 8547451606,India,Berhampur,914455,S106,N,4/16/2000,5/4/2008
SUBID10003,Ballari,Mishra,Sahni Zila,9/25/1969,Female,+91 0106026841,India,Bihar Sharif,91481,S104,N,9/25/1989,6/5/1995
SUBID10004,Devnath,Srivastav,Magar Zila,5/1/1946,Female,+91 1868774631,India,Bidhannagar,531742,S110,N,5/1/1966,12/9/1970
SUBID10005,Atasi,Seth,Khatri Nagar,10/2/1967,Male,+91 9747336855,India,Amravati,229062,S104,Y,10/2/1987,2/13/1995
SUBID1006,Manish,Maurya,Swaminathan Chowk,6/6/1967,Male,+91 4354294043,India,Panvel,438733,S109,,6/6/1987,3/21/1995
SUBID10007,Aakar,Yadav,Swamy,3/5/1925,Female,+91 2777633911,India,Bihar Sharif,535907,S104,N,3/5/1945,11/7/1946
SUBID10008,Gurudas,Gupta,Sarin Nagar,5/6/1945,Male,+91 1232859381,India,Kamarhati,933226,S103,Y,5/6/1965,9/16/1970
SUBID10009,,Gupta,Thakur Circle,6/12/1925,Male,+91 1780763280,India,Bangalore,957469,S105,Y,6/12/1945,8/30/1953
SUBID1010,,Divedi,Dhillon,2/3/1976,Male,+91 5586075345,India,Rajkot,911319,S102,Y,2/3/1996,1/27/2002
SUBID10011,,Vishwakarma,Rajagopalan,1/22/1955,Female,+91 4146391938,India,Ghaziabad,337042,S106,N,1/22/1975,11/2/1978
SUBID10012,Dharmadaas,Tiwari,Rama,4/29/1964,Male,+91 6345482027,India,Bhalswa Jahangir Pur,430793,S103,N,4/29/1984,2/7/1988
SUBID10013,Brahmvir,Rai,Shah Path,11/11/1991,Male,+91 7316972612,India,Ambala,249898,S106,N,11/11/2011,5/23/2020
SUBID10014,,Srivastav,Chandra Path,1/25/1981,Female,+91 2960004518,India,Surendranagar Dudhrej,111966,S102,N,1/25/2001,7/13/2005
SUBID10015,Bhagvan,Srivastav,Edwin,7/24/1966,Female,+91 0297693485,India,Bhimavaram,436513,S105,Y,7/24/1986,2/4/1988
SUBID10016,Amritkala,Srivastav,Guha Path,11/20/1933,Female,+91 0537157280,India,Meerut,863467,S106,Y,11/20/1953,7/29/1955
SUBID10017,Bandhu,Seth,Varughese,10/15/1996,Male,+91 0695289163,India,Chinsurah,136713,S108,N,10/15/2016,6/8/2018
SUBID10018,Bhagavaana,Kumar,Kulkarni Zila,9/16/1935,Female,+91 6071745855,India,Shahjahanpur,597276,S101,N,9/16/1955,5/31/1958
SUBID10019,,Maurya,Sharaf Nagar,11/9/1924,Female,+91 8906694405,India,Jabalpur,958538,S104,N,11/9/1944,10/14/1951
SUBID1020,Umang,Srivastav,Balay Chowk,7/14/1963,Female,+91 9485838770,India,Haridwar,181692,S109,Y,7/14/1983,1/15/1986
SUBID1021,Darsana,Yadav,Upadhyay Zila,5/29/1932,Male,+91 7676311811,India,Dibrugarh,187414,S109,Y,5/29/1952,10/14/1953
SUBID10022,Prakash,Rao,Sachar,9/15/1923,Female,+91 9268324471,India,Kottayam,180680,,N,9/15/1943,10/19/1948
SUBID10023,Vaijayanti,Pratap,Khalsa Nagar,11/13/1920,Male,+91 9358851649,India,Mira-Bhayandar,419190,S102,Y,11/13/1940,3/10/1946
SUBID10024,Menakshi,Seth,Wable Street,3/6/1987,Male,+91 0531676556,India,Kamarhati,882577,S107,N,3/6/2007,2/25/2014
SUBID10025,,Tiwari,Sha Chowk,12/24/1955,Male,+91 2416747182,India,Karimnagar,567762,S106,N,12/24/1975,2/3/1983
SUBID10026,Ekant,Sonkar,Walla Road,8/13/1943,Male,+91 7686951174,India,Berhampore,948589,S110,Y,8/13/1963,5/29/1967
SUBID10027,Chancharik,Pandey,Karan Ganj,9/5/1983,Male,+91 5309364825,India,Chapra,154667,S109,N,9/5/2003,6/12/2011
SUBID10028,Pushti,Pandit,Deol Path,10/15/1935,Female,+91 7093722203,India,Morbi,284168,S106,N,10/15/1955,6/4/1959
SUBID10029,Swati,Seth,Kant Marg,12/11/1987,Female,+91 1028477510,India,Amravati,932221,S102,N,12/11/2007,10/17/2011
SUBID1030,Upasana,Pandey,Seth Chowk,6/1/1956,Male,+91 0548234943,India,Hyderabad,234823,S102,N,6/1/1976,2/14/1981
SUBID10031,Kanhaiya,Lal,Savant Nagar,10/19/1954,Female,+91 0788738026,India,Mysore,638433,S104,Y,10/19/1974,1/3/1977
SUBID1032,,Seth,Sandhu Chowk,7/2/1968,Female,+91 2599794460,India,Gwalior,611826,S110,N,7/2/1988,3/14/1991
SUBID10033,Gensho,Srivastav,Korpal Ganj,6/6/1992,Male,+91 4834040556,India,Ludhiana,835018,S101,N,6/6/2012,1/9/2022
SUBID1034,Gopal,Das,Saini,5/14/1986,Male,+91 1181471524,India,Raebareli,176221,S101,N,5/14/2006,4/8/2011
SUBID10035,Dheeman,Tiwari,Dube Marg,5/4/1945,Male,+91 8239321466,India,Mysore,811970,S101,Y,5/4/1965,11/13/1973
SUBID1036,Upasana,Thakur,Vasa Ganj,10/3/1927,Female,,India,Ratlam,326733,S108,N,10/3/1947,2/20/1951
SUBID1037,,Rajput,Shere Chowk,11/10/1948,Male,+91 8390195092,India,Vadodara,877443,S101,Y,11/10/1968,12/25/1973
SUBID1038,,Thakur,Rastogi Street,4/7/1955,Female,+91 7434031446,India,Vijayawada,438940,S104,,4/7/1975,1/25/1982
SUBID10039,Madhubala,Yadav,Sangha Marg,1/11/1937,Male,+91 8498685882,India,Jaunpur,624102,S104,Y,1/11/1957,10/9/1965
SUBID10040,Anjushree,Pandey,Vora Ganj,7/4/1976,Male,+91 5322869455,India,Ghaziabad,782221,S105,N,7/4/1996,2/17/1999
SUBID1041,,Rajput,Sinha Path,11/25/1930,Female,,India,Agartala,303503,S110,Y,11/25/1950,9/14/1957
SUBID10042,Chakrika,Sonkar,Bansal Circle,8/5/1964,Male,+91 8185162879,India,Ranchi,503290,S108,Y,8/5/1984,9/9/1992
SUBID1043,Saroj,Pandit,Sathe Zila,8/26/1942,Female,+91 5690408243,India,Muzaffarpur,130486,S103,Y,8/26/1962,8/29/1964
SUBID1044,Ayushmati,Vishwakarma,Balakrishnan Street,9/20/1932,Male,+91 3683223970,India,Satna,131247,S108,N,9/20/1952,1/24/1961
SUBID1045,Drashti,Divedi,Wadhwa,7/3/1926,Male,+91 9447269993,India,Saharsa,581568,S104,Y,7/3/1946,11/27/1952
SUBID10046,Aayushmaan,Maurya,Johal Nagar,11/14/1983,Female,+91 4464709769,India,Mehsana,987281,S104,Y,11/14/2003,10/22/2012
SUBID1047,,Rai,Sagar Chowk,2/4/1931,Male,+91 2973105946,India,Shivpuri,794170,S109,Y,2/4/1951,7/14/1955
SUBID10048,Chitranjan,Mishra,Madan Nagar,9/9/1925,Female,+91 5176024720,India,Morbi,945697,S108,N,9/9/1945,6/21/1952
SUBID10049,Paridhi,Yadav,Sant Path,3/27/1959,Female,+91 2139280879,India,Jabalpur,883754,,N,3/27/1979,6/1/1985
SUBID10050,Deependu,Gupta,Banik Ganj,2/13/1952,Female,+91 5674176644,India,Bareilly,417855,S102,Y,2/13/1972,8/23/1976
SUBID10051,,Rajput,Chauhan Chowk,10/17/1946,Male,+91 9887324437,India,Baranagar,765234,S103,Y,10/17/1966,6/26/1969
SUBID10052,Laksman,Rao,Sood Marg,5/26/1939,Female,+91 4504120828,India,Ahmednagar,117923,S101,Y,5/26/1959,11/7/1960
